Departamento,Municipio,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,CANTIDAD
HUILA,NEIVA (CT),41001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,02/08/2010,1
META,VISTAHERMOSA,50711000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,04/08/2010,1
CAQUETÁ,CARTAGENA DEL CHAIRÁ,18150000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,05/08/2010,1
CAQUETÁ,FLORENCIA (CT),18001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,05/08/2010,1
SANTANDER,BUCARAMANGA (CT),68001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,05/08/2010,1
ANTIOQUIA,TOLEDO,5819000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,06/08/2010,1
NORTE DE SANTANDER,CONVENCIÓN,54206000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,06/08/2010,1
META,VILLAVICENCIO (CT),50001000,GRANADA DE MANO,11/08/2010,1
NARIÑO,SANDONÁ,52683000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,11/08/2010,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,CARRO BOMBA,12/08/2010,1
ANTIOQUIA,CAUCASIA,5154000,GRANADA DE MANO,14/08/2010,1
HUILA,NEIVA (CT),41001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,14/08/2010,1
ARAUCA,ARAUQUITA,81065000,COMBUSTIBLE,16/08/2010,1
NARIÑO,CÓRDOBA,52215000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,16/08/2010,1
META,VILLAVICENCIO (CT),50001000,GRANADA DE MANO,20/08/2010,1
HUILA,TELLO,41799000,COMBUSTIBLE,23/08/2010,1
HUILA,BARAYA,41078000,PAQUETE BOMBA,27/08/2010,1
ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,5647000,ARTEFACTO INCENDIARIO,30/08/2010,1
CAUCA,CALOTO,19142000,CILINDRO BOMBA,30/08/2010,1
META,VILLAVICENCIO (CT),50001000,GRANADA DE MANO,30/08/2010,1
NARIÑO,PUPIALES,52585000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,31/08/2010,1
TOLIMA,IBAGUÉ (CT),73001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,31/08/2010,1
TOLIMA,ORTEGA,73504000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,31/08/2010,1
ANTIOQUIA,TOLEDO,5819000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,01/09/2010,1
META,VILLAVICENCIO (CT),50001000,GRANADA DE MANO,04/09/2010,1
CASANARE,YOPAL (CT),85001000,PAQUETE BOMBA,05/09/2010,1
NARIÑO,SANTACRUZ,52699000,ARTEFACTO INCENDIARIO,06/09/2010,1
NARIÑO,PASTO (CT),52001000,PAQUETE BOMBA,08/09/2010,1
HUILA,IQUIRA,41357000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,11/09/2010,1
TOLIMA,IBAGUÉ (CT),73001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,17/09/2010,1
NARIÑO,PASTO (CT),52001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,18/09/2010,1
ANTIOQUIA,YARUMAL,5887000,GRANADA DE MANO,19/09/2010,1
GUAJIRA,ALBANIA,44035000,ARTEFACTO INCENDIARIO,23/09/2010,1
META,VILLAVICENCIO (CT),50001000,GRANADA DE MANO,25/09/2010,1
ARAUCA,SARAVENA,81736000,GRANADA DE MANO,26/09/2010,1
ARAUCA,TAME,81794000,CARRO BOMBA,26/09/2010,1
HUILA,NEIVA (CT),41001000,ARTEFACTO INCENDIARIO,26/09/2010,1
ARAUCA,SARAVENA,81736000,GRANADA DE MANO,29/09/2010,1
NARIÑO,SAN ANDRES DE TUMACO,52835000,GRANADA DE MANO,02/10/2010,1
HUILA,NEIVA (CT),41001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,03/10/2010,1
NARIÑO,BARBACOAS,52079000,GRANADA DE MANO,03/10/2010,1
TOLIMA,ROVIRA,73624000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,07/10/2010,1
CAUCA,SILVIA,19743000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,10/10/2010,1
ARAUCA,SARAVENA,81736000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,12/10/2010,1
ARAUCA,PUERTO RONDÓN,81591000,GRANADA DE MANO,13/10/2010,1
ARAUCA,TAME,81794000,MOTO BOMBA,16/10/2010,1
CAUCA,PIAMONTE,19533000,ARTEFACTO INCENDIARIO,16/10/2010,1
NARIÑO,SAN ANDRES DE TUMACO,52835000,GRANADA DE MANO,16/10/2010,1
ANTIOQUIA,BELLO,5088000,GRANADA DE MANO,19/10/2010,1
TOLIMA,IBAGUÉ (CT),73001000,PAQUETE BOMBA,19/10/2010,1
GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),95001000,-,20/10/2010,1
TOLIMA,ORTEGA,73504000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,23/10/2010,1
HUILA,NEIVA (CT),41001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,25/10/2010,1
TOLIMA,ROVIRA,73624000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,25/10/2010,1
GUAJIRA,RIOHACHA (CT),44001000,GRANADA DE MANO,27/10/2010,1
TOLIMA,CAJAMARCA,73124000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,27/10/2010,1
META,VISTAHERMOSA,50711000,COMBUSTIBLE,28/10/2010,1
ARAUCA,SARAVENA,81736000,GRANADA DE MANO,31/10/2010,2
META,VILLAVICENCIO (CT),50001000,GRANADA DE MANO,31/10/2010,1
META,MESETAS,50330000,MINA ANTIPERSONA,31/10/2010,1
CAUCA,GUACHENÉ,19300000,GRANADA DE MANO,03/11/2010,1
META,MESETAS,50330000,GRANADA DE MANO,03/11/2010,1
META,VILLAVICENCIO (CT),50001000,PAQUETE BOMBA,03/11/2010,1
VALLE,BUENAVENTURA,76109000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,09/11/2010,1
ARAUCA,SARAVENA,81736000,COMBUSTIBLE,16/11/2010,1
GUAJIRA,RIOHACHA (CT),44001000,GRANADA DE MANO,16/11/2010,1
META,SAN JUAN DE ARAMA,50683000,COMBUSTIBLE,16/11/2010,1
ANTIOQUIA,VALDIVIA,5854000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,19/11/2010,1
HUILA,NEIVA (CT),41001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,19/11/2010,1
META,GRANADA,50313000,ARTEFACTO INCENDIARIO,19/11/2010,1
TOLIMA,RONCESVALLES,73622000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,19/11/2010,1
NORTE DE SANTANDER,TIBÚ,54810000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,20/11/2010,1
NORTE DE SANTANDER,CONVENCIÓN,54206000,GRANADA DE MANO,20/11/2010,1
NORTE DE SANTANDER,TEORAMA,54800000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,22/11/2010,1
HUILA,AIPE,41016000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,24/11/2010,1
PUTUMAYO,VALLE DEL GUAMUEZ,86865000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,24/11/2010,1
CAQUETÁ,CARTAGENA DEL CHAIRÁ,18150000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,27/11/2010,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,27/11/2010,1
NORTE DE SANTANDER,SAN CALIXTO,54670000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,28/11/2010,1
PUTUMAYO,VALLE DEL GUAMUEZ,86865000,-,28/11/2010,1
HUILA,NEIVA (CT),41001000,CARRO BOMBA,30/11/2010,1
HUILA,AIPE,41016000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,02/12/2010,1
HUILA,ISNOS,41359000,COMBUSTIBLE,02/12/2010,1
NORTE DE SANTANDER,SAN CALIXTO,54670000,GRANADA DE MANO,02/12/2010,1
TOLIMA,CAJAMARCA,73124000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,02/12/2010,1
ATLÁNTICO,LURUACO,8421000,GRANADA DE MANO,04/12/2010,1
HUILA,NEIVA (CT),41001000,GRANADA DE MANO,04/12/2010,1
ARAUCA,PUERTO RONDÓN,81591000,GRANADA DE MANO,07/12/2010,1
ARAUCA,TAME,81794000,COMBUSTIBLE,08/12/2010,1
TOLIMA,IBAGUÉ (CT),73001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,09/12/2010,1
BOYACÁ,LABRANZAGRANDE,15377000,COMBUSTIBLE,11/12/2010,1
CHOCÓ,TADÓ,27787000,ARTEFACTO INCENDIARIO,11/12/2010,1
QUINDÍO,ARMENIA (CT),63001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,11/12/2010,1
GUAJIRA,RIOHACHA (CT),44001000,GRANADA DE MANO,12/12/2010,1
TOLIMA,ROVIRA,73624000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,12/12/2010,1
HUILA,NEIVA (CT),41001000,GRANADA DE MANO,14/12/2010,1
QUINDÍO,CALARCA,63130000,PAQUETE BOMBA,14/12/2010,1
PUTUMAYO,VALLE DEL GUAMUEZ,86865000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,15/12/2010,1
HUILA,NEIVA (CT),41001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,18/12/2010,1
CAQUETÁ,SAN VICENTE DEL CAGUÁN,18753000,GRANADA DE MANO,20/12/2010,1
TOLIMA,IBAGUÉ (CT),73001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,20/12/2010,1
HUILA,NEIVA (CT),41001000,GRANADA DE MANO,23/12/2010,1
CAUCA,SOTARA,19760000,ARTEFACTO INCENDIARIO,24/12/2010,1
BOYACÁ,CUBARÁ,15223000,ARTEFACTO INCENDIARIO,28/12/2010,2
NARIÑO,EL CHARCO,52250000,GRANADA DE MANO,28/12/2010,1
ARAUCA,SARAVENA,81736000,ARTEFACTO INCENDIARIO,29/12/2010,1
HUILA,NEIVA (CT),41001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,02/01/2011,1
HUILA,NEIVA (CT),41001000,GRANADA DE MANO,02/01/2011,1
ARAUCA,TAME,81794000,GRANADA DE MANO,03/01/2011,1
HUILA,NEIVA (CT),41001000,GRANADA DE MANO,04/01/2011,1
META,URIBE,50370000,MINA ANTIPERSONA,04/01/2011,1
GUAJIRA,FONSECA,44279000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,06/01/2011,1
HUILA,NEIVA (CT),41001000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,06/01/2011,1
META,SAN MARTÍN,50689000,GRANADA DE MANO,10/01/2011,1
GUAJIRA,FONSECA,44279000,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,11/01/2011,1
